,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,property_type_Bed & Breakfast,cancellation_policy_strict
11614,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,3,100,25.0,False,21,1.04,93.0,9.0,9.0,9.0,9.0,9.0,9.0,1245.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11615,False,True,True,1.0,1.0,True,4,1.0,1.0,1.0,2,3,21,85.0,True,4,0.2,95.0,10.0,9.0,10.0,10.0,9.0,10.0,625.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11616,True,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,2,1125,27.0,False,25,1.22,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1754.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
11617,True,True,True,1.0,1.0,True,3,1.0,1.0,1.0,2,2,10,50.0,False,17,0.82,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1673.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
11618,False,True,False,2.0,2.0,True,4,1.0,2.0,2.0,1,1,1125,72.0,False,78,4.0,88.0,9.0,9.0,10.0,10.0,9.0,9.0,1230.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11619,False,True,False,2.0,2.0,False,2,1.0,1.0,2.0,1,1,1125,35.0,False,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,1169.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11620,True,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,7,60,30.0,False,11,0.62,98.0,10.0,9.0,10.0,10.0,9.0,9.0,2318.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11621,False,True,False,1.0,1.0,True,6,1.0,2.0,2.0,1,1,1125,100.0,False,7,0.34,93.0,9.0,10.0,10.0,10.0,10.0,10.0,625.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
11622,False,True,True,1.0,1.0,False,3,1.0,1.0,2.0,1,2,5,50.0,False,14,0.72,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1169.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
11623,True,True,True,1.0,1.0,True,1,1.0,1.0,1.0,1,3,14,17.0,False,45,2.18,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1881.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11624,False,True,False,1.0,1.0,False,1,1.0,1.0,1.0,1,1,7,35.0,False,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,1379.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
11625,False,True,False,2.0,2.0,True,1,1.0,1.0,1.0,1,4,14,18.0,True,2,0.1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,882.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11626,False,True,True,4.0,4.0,False,6,2.5,3.0,3.0,2,2,1125,280.0,False,4,0.2,100.0,10.0,9.0,10.0,10.0,10.0,10.0,624.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11627,False,True,True,1.0,1.0,False,2,1.0,1.0,1.0,2,14,120,110.0,False,17,0.84,99.0,10.0,9.0,9.0,10.0,10.0,10.0,2022.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
11628,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,2,2,22,44.0,False,11,0.55,100.0,10.0,10.0,10.0,10.0,9.0,9.0,916.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11629,False,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,3,5,25.0,False,9,0.44,93.0,10.0,8.0,9.0,10.0,9.0,9.0,724.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
11630,True,True,True,1.0,1.0,True,8,1.0,3.0,5.0,4,3,25,157.0,True,93,4.63,96.0,10.0,10.0,10.0,10.0,9.0,9.0,2212.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11631,False,True,True,1.0,1.0,True,1,1.0,1.0,1.0,1,3,7,15.0,False,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,827.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
11632,False,True,True,1.0,1.0,True,3,1.0,1.0,2.0,1,3,7,90.0,False,12,0.59,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1569.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11633,False,True,False,1.0,1.0,False,2,1.0,0.0,1.0,1,2,8,90.0,False,2,0.1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,990.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11634,True,True,False,1.0,1.0,False,2,1.0,1.0,1.0,1,4,30,48.0,False,22,1.7,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2900.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
11635,False,True,True,5.0,5.0,True,4,1.0,2.0,2.0,1,2,1125,189.0,True,13,0.79,98.0,10.0,10.0,10.0,10.0,10.0,9.0,2731.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11636,False,True,True,2.0,2.0,False,4,1.0,2.0,2.0,1,4,360,76.0,True,6,0.32,80.0,9.0,8.0,8.0,10.0,7.0,8.0,2005.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
11637,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,1,14,28.0,False,4,0.2,93.0,9.0,8.0,9.0,10.0,10.0,10.0,793.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
11638,False,True,False,1.0,1.0,False,2,1.0,1.0,1.0,1,1,1125,40.0,False,6,0.29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,623.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11639,False,True,True,1.0,1.0,True,4,1.0,1.0,2.0,2,3,1125,85.0,False,1,0.05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1280.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
11640,False,True,False,1.0,1.0,False,3,1.0,2.0,3.0,1,7,25,68.0,False,4,0.24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,934.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
11641,False,True,False,12.0,12.0,True,4,1.0,1.0,4.0,2,2,30,98.0,True,59,3.04,96.0,10.0,10.0,10.0,10.0,10.0,9.0,2698.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11642,False,True,False,12.0,12.0,True,4,1.0,1.0,3.0,2,2,31,89.0,True,36,1.89,95.0,9.0,10.0,10.0,10.0,10.0,9.0,2698.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
11643,False,True,True,2.0,2.0,False,1,1.0,2.0,1.0,1,3,10,30.0,False,7,0.35,90.0,10.0,10.0,10.0,10.0,9.0,9.0,2245.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
11644,False,True,True,1.0,1.0,False,2,1.0,1.0,1.0,1,1,14,44.0,False,20,1.04,93.0,10.0,9.0,9.0,9.0,10.0,9.0,1319.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
