,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,cancellation_policy_strict_14_with_grace_period
1006,True,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,2,1125,125.0,True,59,3.51,97.0,10.0,9.0,10.0,10.0,10.0,10.0,2009,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1007,False,True,False,1.0,1.0,True,2,2.0,2.0,1.0,1,2,1125,250.0,False,2,0.18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1258,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
1008,False,True,True,363.0,363.0,True,4,1.0,2.0,3.0,2,3,1125,229.0,True,9,2.23,73.0,7.0,7.0,8.0,8.0,9.0,7.0,936,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1009,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,2,1125,90.0,False,1,0.06,100.0,10.0,10.0,10.0,10.0,10.0,10.0,491,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1010,True,True,True,2.0,2.0,True,4,1.0,1.0,1.0,1,1,1125,200.0,False,11,1.01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1415,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1011,False,True,True,22.0,22.0,True,2,1.0,0.0,1.0,1,2,1125,100.0,False,39,1.98,76.0,8.0,9.0,9.0,9.0,10.0,8.0,1883,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1012,True,True,True,6.0,6.0,True,4,2.0,2.0,2.0,4,1,85,306.0,False,192,4.72,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1687,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1013,False,True,True,1.0,1.0,True,4,1.0,2.0,2.0,4,3,60,229.0,False,5,1.04,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1139,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
1014,False,True,True,363.0,363.0,True,2,1.0,1.0,1.0,1,3,1125,199.0,True,4,0.77,100.0,10.0,10.0,10.0,9.0,10.0,10.0,936,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1015,False,True,True,1.0,1.0,True,1,1.0,1.0,1.0,1,2,5,67.0,False,14,1.14,93.0,9.0,9.0,9.0,9.0,10.0,9.0,722,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
